"RG","TG","COEF","RE"
"CLIC3_CD24","CLIC3","CD24",0.115362789776387,0.327778169096724
"CHI3L1_AIF1","CHI3L1","AIF1",0.164024614576728,0.0808965882170561
"TGFB2_HSPA1A","TGFB2","HSPA1A",0.429849927757927,0.808970693037489
"HLA.C_CASP1","HLA.C","CASP1",0.0352406152300523,0.248077207571098
"WNT7A_CALB1","WNT7A","CALB1",0.327851768100158,0.129659003295304
"LY6D_PLIN2","LY6D","PLIN2",0.24968896110799,0.379836155154715
"COL8A1_SYTL1","COL8A1","SYTL1",-0.0132477872849361,0.00854272440981019
"AKR1C2_ECHDC2","AKR1C2","ECHDC2",0.460692814858508,1.61477461442231
"VCAN_FXYD6","VCAN","FXYD6",0.16337939686656,0.221593380008511
"CALB1_CSAG3","CALB1","CSAG3",0.043705256838683,0.0599384181888789
"WNT3A_MLPH","WNT3A","MLPH",-0.0204414810810002,0.00203753283832291
"SHC4_RPL39L","SHC4","RPL39L",-0.0477202872656866,0.0147436026618825
"MFAP2_MXRA7","MFAP2","MXRA7",0.244312187933672,0.546453830619535
"PLAU_LYPD3","PLAU","LYPD3",0.0104311487561124,0.0319781999687005
"WNT11_GSK3B","WNT11","GSK3B",-0.0317753895888354,0.0553399334703809
"PLK2_FGF19","PLK2","FGF19",-0.178825506482219,0.942272867640063
"CD24_HSPA1A","CD24","HSPA1A",-0.00232077713106959,0.0153716471929847
"TES_TNFRSF21","TES","TNFRSF21",0.224706733128528,1.28937293142938
"FKBP10_PCSK9","FKBP10","PCSK9",-0.0237940638135275,0.11689908113554
"FGF4_LDOC1","FGF4","LDOC1",0.571778314473174,0.101066997544357
"CYP24A1_ELMO1","CYP24A1","ELMO1",-0.0221375970076753,0.0280865985970138
"MEF2C_HLA.DRB5","MEF2C","HLA.DRB5",-0.0197220922627279,0.0153654194811287
"TERT_CASP4","TERT","CASP4",-0.127188211792606,0.181714666323373
"DVL3_VGF","DVL3","VGF",0.280089080763228,1.4615476147977
"FGF4_KIF1A","FGF4","KIF1A",0.107727607680836,0.0190418306979169
