"RG","TG","COEF","RE"
"IGFBP5_ICA1","IGFBP5","ICA1",-0.061091782197691,0.435615876656495
"GADD45A_P3H2","GADD45A","P3H2",-0.145109846118681,0.99722682648589
"CCL5_KRT13","CCL5","KRT13",0.0158507194272786,0.00968167370209243
"DKK1_CDX2","DKK1","CDX2",-0.00289596717400162,0.020810119701686
"MMP14_KIRREL1","MMP14","KIRREL1",0.0305163367841788,0.261011873379449
"WNT9A_TGFBR2","WNT9A","TGFBR2",0.00262096210081741,0.00303379874015278
"LIMD2_HRAS","LIMD2","HRAS",-0.0102228068107063,0.0298722968410199
"APOE_RAB34","APOE","RAB34",-0.0159346647185426,0.0336974814735352
"CKMT1B_MAP7","CKMT1B","MAP7",0.00601168093005213,0.00241187629115728
"GAB1_KRT81","GAB1","KRT81",-0.138060994780085,0.373356533857797
"PDGFC_RPS6KB2","PDGFC","RPS6KB2",-0.030754442549431,0.167790674838343
"CD22_PPL","CD22","PPL",0.0149106487013567,0.00830587682747264
"KIF1A_AKT1","KIF1A","AKT1",-0.0113254323589755,0.00203188545803566
"AKR1B10_C3","AKR1B10","C3",0.360854906529647,0.510462772520152
"ASS1_RB1","ASS1","RB1",-0.0233406032477687,0.10048679530301
"C3orf14_LIMCH1","C3orf14","LIMCH1",-0.0318271348187761,0.124033673710792
"GLUL_TMEM98","GLUL","TMEM98",0.0794960426774833,0.531445130197166
"MYB_RGS4","MYB","RGS4",0.134855047293548,0.0897659505692067
"C12orf75_VAMP5","C12orf75","VAMP5",0.140250971674439,1.13542095448731
"RXRA_MZB1","RXRA","MZB1",-0.0025181849102677,0.00938925798427338
"STC2_TCF7","STC2","TCF7",0.245755469715717,2.01593904841852
"FGF20_TMSB4X","FGF20","TMSB4X",0.032125252312306,0.00319096074524392
"FOS_GATA3","FOS","GATA3",-0.279604807307031,1.78320103504624
"WNT5B_FZD4","WNT5B","FZD4",-0.0117373261971193,0.0684298114893746
"CTNNA3_SORBS2","CTNNA3","SORBS2",-0.049987694488467,0.000703589748060106
"FXYD5_IGFBP2","FXYD5","IGFBP2",-0.202276800005838,1.64003136475871
"LAPTM5_TSPAN8","LAPTM5","TSPAN8",0.0564654593371982,0.0573854482091943
"TUBA4A_WNT3A","TUBA4A","WNT3A",4.20800764749254e-05,0.00018068670618842
"AKR1B10_GLB1L2","AKR1B10","GLB1L2",0.0134798633239674,0.0190685183463892
"AKAP12_FOSL1","AKAP12","FOSL1",0.111479224204149,0.575636228851167
"ERRFI1_P3H3","ERRFI1","P3H3",-0.0335100957398365,0.188013955301988
"LOXL2_SPARC","LOXL2","SPARC",0.330167892571551,2.86250645806207
"RXRG_AQP3","RXRG","AQP3",0.0454585612023814,0.000974456257104043
"STMN3_COL18A1","STMN3","COL18A1",0.0802842190723174,0.267755609526917
"IER3_CKMT1A","IER3","CKMT1A",0.0115242813026322,0.0814092355784561
"CDA_APBB1IP","CDA","APBB1IP",0.052940373122091,0.129366848366029
"MXRA7_MYL9","MXRA7","MYL9",0.110401902709483,0.847977495587033
"CCNE1_IFI30","CCNE1","IFI30",0.181811978297646,0.523058212109806
"IER3_SLC38A5","IER3","SLC38A5",0.322112159804134,2.27544816128279
"BCHE_CCNE2","BCHE","CCNE2",-0.0415342282286708,0.0819714025722521
"SEMA3B_ECHDC2","SEMA3B","ECHDC2",0.0151597450574135,0.0545538665473874
"ALPP_LYPD3","ALPP","LYPD3",0.07585916969629,0.00947086922139544
"SMAD3_TPM1","SMAD3","TPM1",-0.071312106703537,0.397542592336781
"DMKN_SERPINA1","DMKN","SERPINA1",0.0233615748807621,0.0650167657775411
"CCN1_GLDC","CCN1","GLDC",-0.169120673020578,1.56543914465181
"S100A10_SMARCA1","S100A10","SMARCA1",0.0204724041043306,0.191703032744762
"BST2_VGLL1","BST2","VGLL1",-0.00362632703794412,0.0105531571179483
"MT2A_MT1G","MT2A","MT1G",0.0701199570843113,0.831991632765564
"NID1_COL16A1","NID1","COL16A1",0.0201377757780229,0.102124373862564
"JAM3_TIMP2","JAM3","TIMP2",0.145571175686456,0.644438471584824
"GJA1_ARL4C","GJA1","ARL4C",0.136927062799091,0.96431358205128
"CSAG3_IFITM1","CSAG3","IFITM1",0.00849923974307691,0.000828466368851954
"GADD45B_CD37","GADD45B","CD37",-0.0273313193919562,0.167233409422921
"PTPN7_DVL2","PTPN7","DVL2",-0.0049135581803769,0.00072278336678876
"NT5E_CD44","NT5E","CD44",0.00587109953528593,0.0460363487768233
"SHC2_CARD11","SHC2","CARD11",0.000796597711575089,0.000455250223862402
"RPL39L_FBXO2","RPL39L","FBXO2",-0.0930462094897097,0.438735033117234
